AQDATE,FCODE,KLSRMP,KODATC,NAMOBJ,PUDATE,REMARK,SRS_ID,JNSPDG,LCODE,METADATA,SHAPE_Leng,SHAPE_Area,KODLCO,JNSSMK,layer,path
,,999,,,,Tanah Kosong/Gundul,,999,FF0020,,0.01575487730,0.00000562187,,,NONAGRIALANG_AR_25K,C:/../../Users/rakhm/Downloads/[LapakGIS.com] KOTA CIMAHI/NONAGRIALANG_AR_25K.shp
,,999,,,,Tanah Kosong/Gundul,,999,FF0020,,0.00689729610,0.00000162872,,,NONAGRIALANG_AR_25K,C:/../../Users/rakhm/Downloads/[LapakGIS.com] KOTA CIMAHI/NONAGRIALANG_AR_25K.shp
,,999,,,,Tanah Kosong/Gundul,,999,FF0020,,0.00397197831,0.00000076073,,,NONAGRIALANG_AR_25K,C:/../../Users/rakhm/Downloads/[LapakGIS.com] KOTA CIMAHI/NONAGRIALANG_AR_25K.shp
,,999,,,,Tanah Kosong/Gundul,,999,FF0020,,0.00405526807,0.00000101652,,,NONAGRIALANG_AR_25K,C:/../../Users/rakhm/Downloads/[LapakGIS.com] KOTA CIMAHI/NONAGRIALANG_AR_25K.shp
,,999,,,,Tanah Kosong/Gundul,,999,FF0020,,0.00981618873,0.00000187887,,,NONAGRIALANG_AR_25K,C:/../../Users/rakhm/Downloads/[LapakGIS.com] KOTA CIMAHI/NONAGRIALANG_AR_25K.shp
,,999,,,,Tanah Kosong/Gundul,,999,FF0020,,0.00233030686,0.00000035311,,,NONAGRIALANG_AR_25K,C:/../../Users/rakhm/Downloads/[LapakGIS.com] KOTA CIMAHI/NONAGRIALANG_AR_25K.shp
,,999,,,,Tanah Kosong/Gundul,,999,FF0020,,0.01785894792,0.00000206766,,,NONAGRIALANG_AR_25K,C:/../../Users/rakhm/Downloads/[LapakGIS.com] KOTA CIMAHI/NONAGRIALANG_AR_25K.shp
,,999,,,,Tanah Kosong/Gundul,,999,FF0020,,0.00306672423,0.00000033527,,,NONAGRIALANG_AR_25K,C:/../../Users/rakhm/Downloads/[LapakGIS.com] KOTA CIMAHI/NONAGRIALANG_AR_25K.shp
,,999,,,,Tanah Kosong/Gundul,,999,FF0020,,0.00283501619,0.00000035547,,,NONAGRIALANG_AR_25K,C:/../../Users/rakhm/Downloads/[LapakGIS.com] KOTA CIMAHI/NONAGRIALANG_AR_25K.shp
,,999,,,,Tanah Kosong/Gundul,,999,FF0020,,0.01328395030,0.00000497539,,,NONAGRIALANG_AR_25K,C:/../../Users/rakhm/Downloads/[LapakGIS.com] KOTA CIMAHI/NONAGRIALANG_AR_25K.shp
