NAMOBJ,REMARK,WADMPR,SHAPE_Leng,SHAPE_Area,KDPPUM,KDPBPS,FCODE,LUASWH,UUPP,SRS_ID,LCODE,METADATA,KDEBPS,KDEPUM,KDCBPS,KDCPUM,KDBBPS,KDBPUM,WADMKD,WIADKD,WADMKC,WIADKC,WADMKK,WIADKK,WIADPR,TIPADM,layer,path,Populasi,Rg_Terbuka,Ratio_RT_P
CIMAHI,Wilayah Administrasi Kota/Kabupatem,Jawa Barat,0.089278949930000,0.000248968690000,,,,,,,,,,,,,,,,,Cimahi Selatan,,Cimahi,,,,adm_cimahi,adm_cimahi.shp,240990,5,0.207
Cibabat,Wilayah Administrasi Keluruhan/Desa,Jawa Barat,0.085021218443800,0.000233002624956,,,,0.00000000000,,,BA0020,,,,,,,,,,Cimahi Utara,,Cimahi,,,0,,,165652,3,0.181
Padasuka,Wilayah Administrasi Keluruhan/Desa,Jawa Barat,0.071549255842200,0.000156025052622,,,,0.00000000000,,,BA0020,,,,,,,,,,Cimahi Tengah,,Cimahi,,,0,,,161758,10,0.618
